№	Буква	ОбластьЦентр
1	А	Амурская	г. Благовещенск
2	А	Архангельская	г. Архангельск
3	А	Астраханская	г. Астрахань
4	Б	Белгородская	г. Белгород
5	Б	Брянская	г. Брянск
6	В	Владимирская	г. Владимир
7	В	Волгоградская	г. Волгоград
8	В	Вологодская	г. Вологда
9	В	Воронежская	г. Воронеж
10	И	Ивановская	г. Иваново
11	И	Иркутская	г. Иркутск
12	К	Калининградская	г. Калининград
13	К	Калужская	г. Калуга
14	К	Кемеровская	г. Кемерово
15	К	Кировская	г. Киров
16	К	Костромская	г. Кострома
17	К	Курганская	г. Курган
18	К	Курская	г. Курск
19	Л	Ленинградская	г. Санкт-Петербург
20	Л	Липецкая	г. Липецк
21	М	Магаданская	г. Магадан
22	М	Московская	г. Москва
23	М	Мурманская	г. Мурманск
24	Н	Нижегородская	г. Нижний Новгород
25	Н	Новгородская	г. Новгород
26	Н	Новосибирская	г. Новосибирск
27	О	Омская	г. Омск
28	О	Оренбургская	г. Оренбург
29	О	Орловская	г. Орел
30	П	Пензенская	г. Пенза
31	П	Псковская	г. Псков
32	Р	Ростовская	г. Ростов-на-Дону
33	Р	Рязанская	г. Рязань
34	С	Самарская	г. Самара
35	С	Саратовская	г. Саратов
36	С	Сахалинская	г. Южно-Сахалинск
37	С	Свердловская	г. Екатеринбург
38	С	Смоленская	г. Смоленск
39	Т	Тамбовская	г. Тамбов
40	Т	Тверская	г. Тверь
41	Т	Томская	г. Томск
42	Т	Тульская	г. Тула
43	Т	Тюменская	г. Тюмень
44	У	Ульяновская	г. Ульяновск
45	Ч	Челябинская	г. Челябинск
46	Я	Ярославская	г. Ярославль
1	А	Адыгея	г. Майкоп
2	А	Алтай	г. Горно-Алтайск
3	Б	Башкортостан	г. Уфа
4	Б	Бурятия	г. Улан-Удэ
5	Д	Дагестан	г. Махачкала
6	И	Ингушетия	г. Магас
7	К	Кабардино-Балкария	г. Нальчик
8	К	Калмыкия	г. Элиста
9	К	Карачаево-Черкесская	г. Черкесск
10	К	Карелия	г. Петрозаводск
11	К	Коми	г. Сыктывкар
12	М	Марий Эл	г. Йошкар-Ола
13	М	Мордовия	г. Саранск
14	С	Саха	г. Якутск
15	С	Северная Осетия-Алания	г. Владикавказ
16	Т	Татарстан	г. Казань
17	Т	Тыва	г. Кызыл
18	У	Удмуртия	г. Ижевск
19	Х	Хакасия	г. Абакан
20	Ч	Чечня	г. Грозный
21	Ч	Чувашская	г. Чебоксары
22	К	Крым	г. Симферополь
1	А	Алтайский	г. Барнаул
2	З	Забайкальский	г. Чита
3	К	Камчатский	г. Петропавловск-Камчатский
4	К	Краснодарский	г. Краснодар
5	К	Красноярский	г. Красноярск
6	П	Пермский	г. Пермь
7	П	Приморский	г. Владивосток
8	С	Ставропольский	г. Ставрополь
9	Х	Хабаровский	г. Хабаровск
1	Н	Ненецкий	г. Нарьян-Мар
2	Х	Ханты-Мансийский	г. Ханты-Мансийск
3	Ч	Чукотский	г. Анадырь
4	Я	Ямало-Ненецкий	г. Салехард
1	Е	Еврейская	г. Биробиджан
1	М	г. Москва
2	С	г. Санкт-Петербург
3	С	г. Севастополь
